Global frequency set at 1000000000000 ticks per second
      0: system.mem_ctrl: CxlSSD Parameters:
      0: system.mem_ctrl:   CXL Latency: 100000
      0: system.mem_ctrl:   CXL Bandwidth: 30
      0: system.mem_ctrl:   CXL DRAM Size: 268435456
      0: system.mem_ctrl:   SSD Latency: 80000000
      0: system.mem_ctrl:   Host Latency: 60000
      0: system.mem_ctrl:   Host DRAM Size: 268435456
      0: system.mem_ctrl:   Threshold Isolated: 8
      0: system.mem_ctrl:   Threshold Distributed: 4
      0: system.mem_ctrl:   Large Access Threshold: 256
gem5 Simulator System.  https://www.gem5.org
gem5 is copyrighted software; use the --copyright option for details.

gem5 version 25.0.0.1
gem5 compiled Dec 14 2025 22:04:49
gem5 started Dec 15 2025 01:13:35
gem5 executing on ben-desktop, pid 171826
command line: ./build/X86/gem5.opt --debug-flags=CxlSSD,CxlSSDConfig run_cxl.py

Beginning simulation!
      0: system.mem_ctrl: Miss (Small Access): 0x1710
80140000: system.mem_ctrl: Hit in Classify Area: 0x1710
80180000: system.mem_ctrl: Hit in Classify Area: 0x1710
80220000: system.mem_ctrl: Hit in Classify Area: 0x1718
80260000: system.mem_ctrl: Hit in Classify Area: 0x1718
80300000: system.mem_ctrl: Miss (Small Access): 0xb2e60
160440000: system.mem_ctrl: Hit in Classify Area: 0x1718
160480000: system.mem_ctrl: Hit in Classify Area: 0x1718
160520000: system.mem_ctrl: Hit in Classify Area: 0x1720
160560000: system.mem_ctrl: Migrated Page 0x1000 to Host Cache
160560000: system.mem_ctrl: Hit in Classify Area: 0x1720
160731000: system.mem_ctrl: Hit in Classify Area: 0xb2e58
160872000: system.mem_ctrl: Hit in Host Cache: 0x1720
160912000: system.mem_ctrl: Hit in Dirty Area: 0xb2e50
161053000: system.mem_ctrl: Hit in Host Cache: 0x1720
161093000: system.mem_ctrl: Hit in Host Cache: 0x1720
161133000: system.mem_ctrl: Hit in Host Cache: 0x1728
161173000: system.mem_ctrl: Hit in Host Cache: 0x1728
161213000: system.mem_ctrl: Hit in Host Cache: 0x1730
161253000: system.mem_ctrl: Hit in Dirty Area: 0xb2e48
161394000: system.mem_ctrl: Miss (Small Access): 0x3ee0
241534000: system.mem_ctrl: Hit in Classify Area: 0x3ee0
241574000: system.mem_ctrl: Hit in Dirty Area: 0xb2e40
241715000: system.mem_ctrl: Hit in Classify Area: 0x3ee0
241755000: system.mem_ctrl: Hit in Classify Area: 0x3ee8
241795000: system.mem_ctrl: Hit in Classify Area: 0x3ee8
241835000: system.mem_ctrl: Hit in Dirty Area: 0xb2e38
241976000: system.mem_ctrl: Hit in Classify Area: 0x3ee8
242016000: system.mem_ctrl: Hit in Dirty Area: 0xb2e30
242157000: system.mem_ctrl: Hit in Classify Area: 0x3ee8
242197000: system.mem_ctrl: Hit in Classify Area: 0x3ef0
242237000: system.mem_ctrl: Hit in Dirty Area: 0xb2e28
242378000: system.mem_ctrl: Migrated Page 0x3000 to Host Cache
242378000: system.mem_ctrl: Hit in Classify Area: 0x3ef0
242549000: system.mem_ctrl: Hit in Dirty Area: 0xb2e20
242690000: system.mem_ctrl: Hit in Host Cache: 0x3ef0
242730000: system.mem_ctrl: Hit in Host Cache: 0x3ef0
242770000: system.mem_ctrl: Hit in Dirty Area: 0xb2e18
242911000: system.mem_ctrl: Hit in Host Cache: 0x3ef0
242951000: system.mem_ctrl: Hit in Host Cache: 0x3ef8
242991000: system.mem_ctrl: Hit in Host Cache: 0x3ef8
243031000: system.mem_ctrl: Hit in Host Cache: 0x3ef8
243071000: system.mem_ctrl: Hit in Host Cache: 0x3f00
